lat,lon,alt,date,device,os,version
39.1400947571,-77.702293396,177.828323364,2014-04-08 16:46:56,"iPhone5,1",7.1,1.1
39.1400947571,-77.702293396,177.828323364,2014-04-08 16:46:56,"iPhone5,1",7.1.2,1.1
39.140083313,-77.7023544312,181.126647949,2014-04-08 16:49:04,"iPhone5,1",7.1,1.1
39.140083313,-77.7023544312,181.126647949,2014-04-08 16:49:04,"iPhone5,1",7.1.2,1.1
39.1400794983,-77.7023544312,181.89855957,2014-04-08 17:27:28,"iPhone5,1",7.1,1.1
39.1400794983,-77.7023544312,181.89855957,2014-04-08 17:27:28,"iPhone5,1",7.1.2,1.1
39.1317024231,-77.7037353516,172,2014-04-08 18:31:28,"iPhone5,1",7.1,1.1
39.1317024231,-77.7037353516,172,2014-04-08 18:31:28,"iPhone5,1",7.1.2,1.1
39.0669288635,-77.696975708,165.945983887,2014-04-08 18:40:00,"iPhone5,1",7.1,1.1
39.0669288635,-77.696975708,165.945983887,2014-04-08 18:40:00,"iPhone5,1",7.1.2,1.1
39.0504264832,-77.7287521362,152.625442505,2014-04-08 18:48:32,"iPhone5,1",7.1,1.1
39.0504264832,-77.7287521362,152.625442505,2014-04-08 18:48:32,"iPhone5,1",7.1.2,1.1
39.050113678,-77.7286300659,153,2014-04-09 00:04:16,"iPhone5,1",7.1,1.1
39.050113678,-77.7286300659,153,2014-04-09 00:04:16,"iPhone5,1",7.1.2,1.1
39.0546569824,-77.7309799194,153.271514893,2014-04-09 11:48:16,"iPhone5,1",7.1,1.1
39.0546569824,-77.7309799194,153.271514893,2014-04-09 11:48:16,"iPhone5,1",7.1.2,1.1
39.0633926392,-77.7046051025,144.747161865,2014-04-09 11:52:32,"iPhone5,1",7.1,1.1
39.0633926392,-77.7046051025,144.747161865,2014-04-09 11:52:32,"iPhone5,1",7.1.2,1.1
39.1079902649,-77.6957397461,130.724456787,2014-04-09 11:56:48,"iPhone5,1",7.1,1.1
39.1079902649,-77.6957397461,130.724456787,2014-04-09 11:56:48,"iPhone5,1",7.1.2,1.1
39.1363105774,-77.7048721313,154.284515381,2014-04-09 12:03:12,"iPhone5,1",7.1,1.1
39.1363105774,-77.7048721313,154.284515381,2014-04-09 12:03:12,"iPhone5,1",7.1.2,1.1
39.1400871277,-77.702293396,177.602172852,2014-04-09 16:08:32,"iPhone5,1",7.1,1.1
39.1400871277,-77.7023162842,177.78352356,2014-04-09 16:08:32,"iPhone5,1",7.1,1.1
39.1400871277,-77.702293396,177.602172852,2014-04-09 16:08:32,"iPhone5,1",7.1.2,1.1
39.1400871277,-77.7023162842,177.78352356,2014-04-09 16:08:32,"iPhone5,1",7.1.2,1.1
39.1403999329,-77.7021636963,177.124145508,2014-04-09 18:46:24,"iPhone5,1",7.1,1.1
39.1403999329,-77.7021636963,177.124145508,2014-04-09 18:46:24,"iPhone5,1",7.1.2,1.1
39.1351165771,-77.7056274414,172.530471802,2014-04-09 19:16:16,"iPhone5,1",7.1,1.1
39.1351165771,-77.7056274414,172.530471802,2014-04-09 19:16:16,"iPhone5,1",7.1.2,1.1
39.1075515747,-77.6997528076,165,2014-04-09 19:31:12,"iPhone5,1",7.1,1.1
39.1075515747,-77.6997528076,165,2014-04-09 19:31:12,"iPhone5,1",7.1.2,1.1
39.0501174927,-77.7286300659,152.984298706,2014-04-09 19:35:28,"iPhone5,1",7.1,1.1
39.0501174927,-77.7286300659,152.984298706,2014-04-09 19:35:28,"iPhone5,1",7.1.2,1.1
39.0501098633,-77.7286376953,152.955047607,2014-04-10 00:23:28,"iPhone5,1",7.1,1.1
39.0504188538,-77.7286453247,161.792114258,2014-04-10 00:23:28,"iPhone5,1",7.1,1.1
39.0501098633,-77.7286376953,152.955047607,2014-04-10 00:23:28,"iPhone5,1",7.1.2,1.1
39.0504188538,-77.7286453247,161.792114258,2014-04-10 00:23:28,"iPhone5,1",7.1.2,1.1
39.0504379272,-77.7287597656,148.271377563,2014-04-10 04:37:20,"iPhone5,1",7.1,1.1
39.0504379272,-77.7287597656,148.271377563,2014-04-10 04:37:20,"iPhone5,1",7.1.2,1.1
39.048160553,-77.7311096191,148.271377563,2014-04-10 04:45:52,"iPhone5,1",7.1,1.1
39.048160553,-77.7311096191,148.271377563,2014-04-10 04:45:52,"iPhone5,1",7.1.2,1.1
39.0544166565,-77.7306671143,153.415374756,2014-04-10 12:01:04,"iPhone5,1",7.1,1.1
39.0544166565,-77.7306671143,153.415374756,2014-04-10 12:01:04,"iPhone5,1",7.1.2,1.1
39.063167572,-77.6972503662,145.405792236,2014-04-10 12:05:20,"iPhone5,1",7.1,1.1
39.063167572,-77.6972503662,145.405792236,2014-04-10 12:05:20,"iPhone5,1",7.1.2,1.1
39.113155365,-77.6947784424,163.268341064,2014-04-10 12:11:44,"iPhone5,1",7.1,1.1
39.113155365,-77.6947784424,163.268341064,2014-04-10 12:11:44,"iPhone5,1",7.1.2,1.1
39.1408882141,-77.7035064697,185.186859131,2014-04-10 12:16:00,"iPhone5,1",7.1,1.1
39.1408882141,-77.7035064697,185.186859131,2014-04-10 12:16:00,"iPhone5,1",7.1.2,1.1
39.1341896057,-77.7043304443,172.568908691,2014-04-10 18:29:20,"iPhone5,1",7.1,1.1
39.1341896057,-77.7043304443,172.568908691,2014-04-10 18:29:20,"iPhone5,1",7.1.2,1.1
39.0578651428,-77.7290802002,172.568908691,2014-04-10 18:44:16,"iPhone5,1",7.1,1.1
39.0578651428,-77.7290802002,172.568908691,2014-04-10 18:44:16,"iPhone5,1",7.1.2,1.1
39.0476646423,-77.7292022705,154.805511475,2014-04-10 18:59:12,"iPhone5,1",7.1,1.1
39.0476646423,-77.7292022705,154.805511475,2014-04-10 18:59:12,"iPhone5,1",7.1.2,1.1
39.056060791,-77.7309570312,155.747970581,2014-04-11 11:44:00,"iPhone5,1",7.1,1.1
39.056060791,-77.7309570312,155.747970581,2014-04-11 11:44:00,"iPhone5,1",7.1.2,1.1
39.080329895,-77.6970825195,151.140411377,2014-04-11 11:50:24,"iPhone5,1",7.1,1.1
39.080329895,-77.6970825195,151.140411377,2014-04-11 11:50:24,"iPhone5,1",7.1.2,1.1
39.1273880005,-77.7027511597,167.307662964,2014-04-11 11:56:48,"iPhone5,1",7.1,1.1
39.1273880005,-77.7027511597,167.307662964,2014-04-11 11:56:48,"iPhone5,1",7.1.2,1.1
39.1385421753,-77.7016525269,173.468582153,2014-04-11 12:03:12,"iPhone5,1",7.1,1.1
39.1385421753,-77.7016525269,173.468582153,2014-04-11 12:03:12,"iPhone5,1",7.1.2,1.1
39.140083313,-77.7023391724,179.50894165,2014-04-11 14:21:52,"iPhone5,1",7.1,1.1
39.140083313,-77.7023391724,179.50894165,2014-04-11 14:21:52,"iPhone5,1",7.1.2,1.1
39.1345329285,-77.7045059204,174.069107056,2014-04-11 18:35:44,"iPhone5,1",7.1,1.1
39.1345329285,-77.7045059204,174.069107056,2014-04-11 18:35:44,"iPhone5,1",7.1.2,1.1
